C,gamma,kernel,train_accuracy,train_precision,train_recall,train_f1,train_auc,test_accuracy,test_precision,test_recall,test_f1,test_auc
0.1,0.1,rbf,1.0,1.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.5
0.1,0.1,poly,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143
0.1,0.1,sigmoid,0.9243697478991597,0.9267605633802817,0.9215686274509803,0.9241573033707865,0.9819457194642562,0.4,0.6,0.42857142857142855,0.5,0.5238095238095238
0.1,10,rbf,1.0,1.0,1.0,1.0,0.0,0.7,0.7,1.0,0.8235294117647058,0.5
0.1,10,poly,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143
0.1,10,sigmoid,0.9187675070028011,0.9187675070028011,0.9187675070028011,0.9187675070028011,0.9803568486218016,0.4,0.6,0.42857142857142855,0.5,0.5714285714285714
10,0.1,rbf,1.0,1.0,1.0,1.0,0.0,0.3,0.0,0.0,0.0,0.5
10,0.1,poly,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143
10,0.1,sigmoid,0.8921568627450981,0.8910614525139665,0.8935574229691877,0.8923076923076924,0.9656646972514497,0.3,0.5,0.2857142857142857,0.36363636363636365,0.5238095238095238
10,10,rbf,1.0,1.0,1.0,1.0,0.0,0.7,0.7,1.0,0.8235294117647058,0.5
10,10,poly,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.42857142857142855,0.5454545454545454,0.7142857142857143
10,10,sigmoid,0.896358543417367,0.896358543417367,0.896358543417367,0.896358543417367,0.9629341932851573,0.4,0.6666666666666666,0.2857142857142857,0.4,0.5714285714285714
